data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno,log_retorno_tratado,volume_norm,log_retorno_z,fechamento_z,tendencia_z
2020-09-01,42.83000183105469,43.43000030517578,42.720001220703125,42.7599983215332,285146,42.7599983215332,2020,9,terça,3,40.94474135969293,-0.9742038078365852,2.7894607696768645,0.14999771118164062,0.00352024663302175,0.00351406506768507,0.00351406506768507,0.1319788374097801,0.1328620162986361,-1.1432666290338527,-1.4253894952102242
2020-09-02,43.02000045776367,43.209999084472656,41.22999954223633,41.5099983215332,421771,41.5099983215332,2020,9,quarta,3,41.03900491098585,-0.4998893179345242,0.9708827284818752,-1.25,-0.02923292911755148,-0.02966872527393759,-0.02966872527393759,0.21161249634982038,-1.2248904018409505,-1.2162967249844714,-1.4191047168154314
2020-09-03,41.630001068115234,41.790000915527344,40.220001220703125,41.369998931884766,417634,41.369998931884766,2020,9,quinta,3,41.13326846227878,-0.19648366925227592,0.4332141388582613,-0.1399993896484375,-0.00337266671426994,-0.00337836697498113,-0.00337836697498113,0.20920119207143104,-0.14915815670213695,-1.2244760600717142,-1.4128199384206386
2020-09-04,41.25,41.869998931884766,39.349998474121094,39.77000045776367,444184,39.77000045776367,2020,9,sexta,3,41.227532013571704,-1.4541064588179815,-0.00342509699004978,-1.5999984741210938,-0.03867533273944423,-0.03944308392485077,-0.03944308392485077,0.22467620502556146,-1.6248314242026036,-1.3179544937404397,-1.4065351600258458
2020-09-08,39.47999954223633,39.59000015258789,36.130001068115234,36.7599983215332,720975,36.7599983215332,2020,9,terça,3,41.32179556486463,-1.48263933804988,-3.079157905281548,-3.0100021362304688,-0.07568524268505195,-0.07870261890253123,-0.07870261890253123,0.38600744082920424,-3.231228234181504,-1.4938110895968224,-1.400250381631053
2020-09-09,36.790000915527344,38.45000076293945,36.15999984741211,38.04999923706055,455356,38.04999923706055,2020,9,quarta,3,41.416059116157555,-0.7484439596690305,-2.617615919427976,1.2900009155273438,0.03509251834681648,0.03449081242937966,0.03449081242937966,0.23118795058953678,1.400348963702324,-1.4184439770869441,-1.3939656032362602
2020-09-10,37.79999923706055,38.18000030517578,36.93000030517578,37.29999923706055,367555,37.29999923706055,2020,9,quinta,3,41.51032266745048,-0.9360667076198552,-3.274256722770076,-0.75,-0.01971090709693113,-0.01990775806109467,-0.01990775806109467,0.18001199532077575,-0.8254973218685621,-1.4622620346573154,-1.3876808248414676
2020-09-11,37.0099983215332,37.81999969482422,36.66999816894531,37.33000183105469,363787,37.33000183105469,2020,9,sexta,3,41.60458621874341,-0.3197358596899358,-3.954848527998784,0.03000259399414062,8.043591047672827e-4,8.040357813497115e-4,8.040357813497115e-4,0.17781576749361327,0.021974752784346636,-1.4605091608027878,-1.3813960464466748
2020-09-14,37.31999969482422,37.68000030517578,36.81999969482422,37.2599983215332,347563,37.2599983215332,2020,9,segunda,3,41.69884977003633,0.01750584084563328,-4.456357289348766,-0.070003509521484375,-0.00187526134711435,-0.00187702185095516,-0.00187702185095516,0.16835939799576724,-0.0877270669227035,-1.464599051216575,-1.375111268051882
2020-09-15,37.279998779296875,38.56999969482422,37.060001373291016,38.279998779296875,348861,38.279998779296875,2020,9,terça,3,41.79311332132926,0.6629279169138705,-4.176042458946256,1.020000457763672,0.02737521480708693,0.02700721456993326,0.02700721456993326,0.16911595418463585,1.0941398418822599,-1.4050064661764503,-1.3688264896570892
